Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
93,2019,March 23 2019,East,Second Round,3 LSU,69,6 Maryland,67,,+2,Jacksonville FL
94,2019,March 23 2019,Midwest,Second Round,2 Kentucky,62,7 Wofford,56,,+6,Jacksonville FL
95,2019,March 23 2019,West,Second Round,1 Gonzaga,83,9 Baylor,71,,+12,Salt Lake City UT
96,2019,March 23 2019,West,Second Round,4 Florida State,90,12 Murray State,62,,+28,Hartford CT
97,2019,March 23 2019,Midwest,Second Round,5 Auburn,89,4 Kansas,75,,+14,Salt Lake City UT
98,2019,March 22 2019,Midwest,First Round,9 Washington,78,8 Utah State,61,,+17,Columbus OH
99,2019,March 22 2019,East,First Round,4 Virginia Tech,66,13 Saint Louis,52,,+14,San Jose CA
100,2019,March 22 2019,South,First Round,1 Virginia,71,16 Gardner-Webb,56,,+15,Columbia SC
101,2019,March 22 2019,South,First Round,12 Oregon,72,5 Wisconsin,54,,+18,San Jose CA
102,2019,March 22 2019,South,First Round,13 UC-Irvine,70,4 Kansas State,64,,+6,San Jose CA
103,2019,March 22 2019,East,First Round,9 UCF,73,8 VCU,58,,+15,Columbia SC
104,2019,March 22 2019,East,First Round,4 Virginia Tech,66,13 Saint Louis,52,,+14,San Jose CA
105,2019,March 22 2019,South,First Round,1 Virginia,71,16 Gardner-Webb,56,,+15,Columbia SC
106,2019,March 22 2019,Midwest,First Round,3 Houston,84,14 Georgia State,55,,+29,Tulsa OK
107,2019,March 22 2019,East,First Round,12 Liberty,80,5 Mississippi State,76,,+4,San Jose CA
108,2019,March 22 2019,Midwest,First Round,11 Ohio State,62,6 Iowa State,59,,+3,Tulsa OK
109,2019,March 22 2019,South,First Round,9 Oklahoma,95,8 Ole Miss,72,,+23,Columbia SC
110,2019,March 22 2019,South,First Round,2 Tennessee,77,15 Colgate,70,,+7,Columbus OH
111,2019,March 22 2019,East,First Round,1 Duke,85,16 North Dakota State,62,,+23,Columbia SC
112,2019,March 22 2019,Midwest,First Round,9 Washington,78,8 Utah State,61,,+17,Columbus OH
113,2019,March 22 2019,South,First Round,10 Iowa,79,7 Cincinnati,72,,+7,Columbus OH
114,2019,March 21 2019,West,First Round,2 Michigan,74,15 Montana,55,,+19,Des Moines IA
115,2019,March 21 2019,Midwest,First Round,5 Auburn,78,12 New Mexico State,77,,+1,Salt Lake City UT
116,2019,March 21 2019,East,First Round,6 Maryland,79,11 Belmont,77,,+2,Jacksonville FL
117,2019,March 21 2019,South,First Round,6 Villanova,61,11 Saint Mary's,57,,+4,Hartford CT
118,2019,March 21 2019,West,First Round,9 Baylor,78,8 Syracuse,69,,+9,Salt Lake City UT
119,2019,March 21 2019,Midwest,First Round,4 Kansas,87,13 Northeastern,53,,+34,Salt Lake City UT
120,2019,March 21 2019,East,First Round,10 Minnesota,86,7 Louisville,76,,+10,Des Moines IA
121,2019,March 21 2019,Midwest,First Round,7 Wofford,84,10 Seton Hall,68,,+16,Jacksonville FL
122,2019,March 21 2019,South,First Round,3 Purdue,61,14 Old Dominion,48,,+13,Hartford CT
123,2019,March 21 2019,East,First Round,2 Michigan State,76,15 Bradley,65,,+11,Des Moines IA
124,2019,March 21 2019,East,First Round,3 LSU,79,14 Yale,74,,+5,Jacksonville FL
125,2019,March 21 2019,Midwest,First Round,2 Kentucky,79,15 Abilene Christian,44,,+35,Jacksonville FL
126,2019,March 21 2019,West,First Round,10 Florida,70,7 Nevada,61,,+9,Des Moines IA
127,2019,March 21 2019,West,First Round,4 Florida State,76,13 Vermont,69,,+7,Hartford CT
128,2019,March 21 2019,West,First Round,12 Murray State,83,5 Marquette,64,,+19,Hartford CT
129,2019,March 21 2019,West,First Round,1 Gonzaga,87,16 Fairleigh Dickinson,49,,+38,Salt Lake City UT
130,2019,March 20 2019,East,First Four,16 North Dakota State,78,16 North Carolina Central,74,,+4,Dayton OH
131,2019,March 20 2019,West,First Four,11 Arizona State,74,11 St. John's (NY),65,,+9,Dayton OH
132,2019,March 19 2019,East,First Four,11 Belmont,81,11 Temple,70,,+11,Dayton OH
133,2019,March 19 2019,West,First Four,16 Fairleigh Dickinson,82,16 Prairie View,76,,+6,Dayton OH
134,2018,April 2 2018,National,National Final,1 Villanova,79,3 Michigan,62,,+17,San Antonio TX
135,2018,March 31 2018,National,National Semifinal,1 Villanova,95,1 Kansas,79,,+16,San Antonio TX
136,2018,March 31 2018,National,National Semifinal,3 Michigan,69,11 Loyola (IL),57,,+12,San Antonio TX
137,2018,March 25 2018,East,Regional Final,1 Villanova,71,3 Texas Tech,59,,+12,Boston MA
138,2018,March 25 2018,Midwest,Regional Final,1 Kansas,85,2 Duke,81,OT,+4,Omaha NE
139,2018,March 24 2018,South,Regional Final,11 Loyola (IL),78,9 Kansas State,62,,+16,Atlanta GA
140,2018,March 24 2018,West,Regional Final,3 Michigan,58,9 Florida State,54,,+4,Los Angeles CA
